Bairro,População,Criticidade,Impacto (m2),Custo (R$ mil),Prioridade,Qtd_Bueiros
Bairro 7004,44716,10,2567,20,1283.5,1
Bairro 9470,28267,10,2448,22,1112.7272727272727,1
Bairro 4010,23883,9,2381,20,1071.45,1
Bairro 4860,40553,10,2948,25,1179.2,1
Bairro 9908,15828,10,2893,20,1446.5,1
Bairro 2380,18737,10,2309,20,1154.5,1
Bairro 9479,11159,10,2992,23,1300.8695652173913,1
Bairro 5762,46040,8,2959,20,1183.6,1
Bairro 8868,48448,10,2574,23,1119.1304347826087,1
Bairro 1390,19938,10,2973,27,1101.111111111111,1
Bairro 3615,45055,9,2529,22,1034.590909090909,1
Bairro 9114,26129,10,2483,24,1034.5833333333333,1
Bairro 2447,24138,10,2536,22,1152.7272727272727,1
Bairro 8513,28881,10,2700,25,1080.0,1
Bairro 8969,30082,9,2540,23,993.9130434782609,1
Bairro 6119,50059,10,2908,23,1264.3478260869565,1
Bairro 9110,20135,7,2835,20,992.25,1
Bairro 7874,6445,10,2380,24,991.6666666666666,1
Bairro 5856,20180,10,2174,20,1087.0,1
Bairro 3800,40234,9,2966,27,988.6666666666666,1
Bairro 7099,50632,10,2587,20,1293.5,1
Bairro 2747,49913,9,2692,25,969.12,1
Bairro 1962,55886,9,2497,20,1123.65,1
Bairro 3976,46953,9,2328,21,997.7142857142857,1
Bairro 4519,25430,10,2559,22,1163.1818181818182,1
Bairro 2937,54311,9,2798,23,1094.8695652173913,1
Bairro 4245,47058,9,2346,20,1055.7,1
Bairro 9408,33135,10,2838,21,1351.4285714285713,1
Bairro 5346,33393,7,2888,21,962.6666666666666,1
Bairro 5359,8062,8,2643,22,961.0909090909091,1
Bairro 8023,5883,7,2883,21,961.0,1
Bairro 3852,56159,9,2344,22,958.9090909090909,1
Bairro 1183,4757,8,2510,21,956.1904761904761,1
Bairro 1988,22905,7,2847,21,949.0,1
Bairro 1384,35758,8,2973,25,951.36,1
Bairro 6343,47178,8,2724,23,947.4782608695652,1
