Bairro,População,Criticidade,Impacto (m2),Custo (R$ mil)
Austin,23216,6,2703,127
Belmonte,32134,10,1337,98
Belo Vale,24511,2,1670,69
Humanitá,36059,3,778,84
Biquinha,5294,10,2146,82
Boa Esperança,44786,1,2544,21
Botujuru,31718,5,1848,68
Brás de Pina,23655,9,2762,118
Cachoeira Grande,18526,8,2878,89
Cabral,5127,2,2815,119
Cabuçu,29731,6,2987,83
Califórnia,7861,5,1447,98
Centro,25806,9,1131,78
Cidade Olímpica,38375,10,668,144
Coroado,28646,2,2893,50
Da Prata,31722,10,588,55
Donana,43172,5,2298,94
Dona Elvira,10943,10,1665,70
Dona Eulália,18389,9,1961,64
Engenheiro Pedreira,36600,4,1991,58
Fazenda da República,28510,9,2758,42
Gato Grande,57000,6,1981,39
Geraldo,37836,7,2334,139
Guarujá,29279,1,1808,110
Jardim Guandu,55722,6,2732,117
Jardim Toronto,40456,5,2240,31
Lote XV,50813,9,2371,142
Miguel Couto,6831,8,867,21
Montese,13606,10,2635,107
Moquetá,7106,7,2713,55
Nova Aurora,48205,4,874,98
Nova Belém,17004,8,1471,30
Nova Era,40789,8,519,124
Nova Posse,39087,9,887,76
Parque Fluminense,11455,9,2353,47
Parque Nova Iguaçu,46024,6,1269,68
Parque Presidente Vargas,6734,6,1618,89
Ceramica,23513,4,587,91
Posse,10921,10,1467,101
Quintino,15244,6,1307,36
Riachão,11374,10,2420,129
Riachinho,17036,7,652,88
Santa Eugênia,49365,10,1009,23
Santa Inês,39486,1,2023,36
Santa Rita,57962,10,1457,135
Corumba,47511,6,2478,108
São Bento,13434,3,1390,133
Santo Antônio,51924,10,908,29
Santo Elias,25373,7,1496,22
Carmari,27478,1,2295,79
Tingui,7714,8,1424,82
Tingui Mirim,30145,4,1733,79
Tinguá,4094,5,976,92
Três Bocas,17177,5,2362,69
Vila de Cava,16413,3,891,145
Vila da Sapê,18944,2,2853,140
Vila São João,55706,9,2393,43
Vila Tinguá,44928,4,2908,88
Vila União,54232,5,2297,82
Zumbi,55952,6,504,40
Bairro da Luz,23823,2,2368,33
Comendador Soares,23431,9,1534,113
Morro do Barão,6584,5,1428,32
Morro do Castro,4549,3,2088,21
Morro do Escorrega,32627,3,1466,74
Morro do Fogueteiro,36205,8,2984,107
Morro do São João,53683,1,2699,120
Bairro 1,38477,8,2862,102
Bairro 2,12575,7,522,136
Bairro 3,10681,5,2666,46
Bairro 4,18895,5,1602,87
Bairro 5,58657,8,2005,31
Bairro 6,42716,6,1476,74
Bairro 7,45725,4,2554,45
Bairro 8,7621,5,1261,46
Bairro 9,41531,2,544,149
Bairro 10,9900,1,1020,107
Bairro 11,34570,4,862,127
Bairro 12,14663,3,2193,75
Bairro 13,16899,4,2198,90
Bairro 14,8871,3,2443,50
Bairro 15,6764,6,1491,81
Bairro 16,25342,8,2553,76
Bairro 17,56070,6,2007,36
Bairro 18,14108,7,1129,54
Bairro 19,19254,1,2833,92
Bairro 20,21729,7,954,31
Bairro 21,27284,3,2714,45
Bairro 22,58413,4,695,82
Bairro 23,36695,4,2309,71
Bairro 24,30109,6,2985,120
Bairro 25,59306,2,2082,59
Bairro 26,7174,1,2502,26
Bairro 27,55719,9,2947,124
Bairro 28,33785,8,1933,149
Bairro 29,31930,5,1514,83
Bairro 30,30379,9,1209,72
Bairro 31,17527,4,1028,77
Bairro 32,25028,10,2295,57
Bairro 33,29896,7,1338,121
Bairro 34,27781,4,529,131
Bairro 35,4675,10,1817,57
Bairro 36,29504,8,1629,54
Bairro 37,55763,2,1403,107
Bairro 38,18276,10,2748,46
Bairro 39,17301,6,1146,85
Bairro 40,24157,6,2403,32
Bairro 41,9547,6,1627,146
Bairro 42,48879,9,1446,139
Bairro 43,30611,5,2855,62
Bairro 44,19892,2,2629,89
Bairro 45,18609,4,752,139
Bairro 46,52295,3,2218,110
Bairro 47,15713,2,1466,46
Bairro 48,6343,4,1123,136
Bairro 49,50761,10,2155,104
Bairro 50,34776,4,1207,73
Bairro 51,30929,8,798,35
Bairro 52,52663,1,2539,109
Bairro 53,41933,3,507,96
Bairro 54,23479,5,2156,95
Bairro 55,56735,9,1784,125
Bairro 56,8204,4,561,144
Bairro 57,14026,10,2010,45
Bairro 58,54474,4,1910,73
Bairro 59,40301,6,1930,41
Bairro 60,48392,9,2280,146
Bairro 61,25270,2,1760,138
Bairro 62,12334,8,1967,44
Bairro 63,29210,3,2037,72
Bairro 64,50443,6,2118,20
Bairro 65,35842,4,1671,27
Bairro 66,21148,5,697,20
Bairro 67,37038,6,2083,21
Bairro 68,19394,8,969,30
Bairro 69,28457,8,2701,77
Bairro 70,30128,8,1783,64
Bairro 71,12082,7,2795,144
Bairro 72,10104,10,2525,74
Bairro 73,17245,3,1747,121
Bairro 74,52822,9,793,120
Bairro 75,34836,7,1317,102
Bairro 76,46101,4,715,53
Bairro 77,22563,7,849,115
Bairro 78,4723,5,2795,74
Bairro 79,52335,2,2691,99
Bairro 80,27708,4,2533,46
