Bairro,População,Criticidade,Impacto (m2),Custo (R$ mil)
Austin,23216,8,1079,75
Belmonte,32134,6,2516,30
Belo Vale,24511,3,2526,136
Humanitá,36059,4,2138,32
Biquinha,5294,6,1264,59
Boa Esperança,44786,7,1486,100
Botujuru,31718,10,1240,94
Brás de Pina,23655,8,1036,129
Cachoeira Grande,18526,2,2371,59
Cabral,5127,6,2728,95
Cabuçu,29731,7,2937,47
Califórnia,7861,4,2050,73
Centro,25806,2,1250,107
Cidade Olímpica,38375,10,1620,95
Coroado,28646,4,1024,27
Da Prata,31722,10,2885,140
Donana,43172,4,2931,38
Dona Elvira,10943,10,1464,44
Dona Eulália,18389,10,2564,72
Engenheiro Pedreira,36600,2,1642,121
Fazenda da República,28510,5,2764,124
Gato Grande,57000,6,2707,22
Geraldo,37836,9,1261,72
Guarujá,29279,1,2424,93
Jardim Guandu,55722,1,2934,82
Jardim Toronto,40456,5,2891,77
Lote XV,50813,9,538,114
Miguel Couto,6831,1,2744,62
Montese,13606,5,769,35
Moquetá,7106,3,2237,65
Nova Aurora,48205,5,717,64
Nova Belém,17004,9,519,100
Nova Era,40789,7,1926,67
Nova Posse,39087,8,1388,106
Parque Fluminense,11455,6,2133,42
Parque Nova Iguaçu,46024,6,1090,113
Parque Presidente Vargas,6734,2,2147,106
Ceramica,23513,9,1881,22
Posse,10921,4,861,35
Quintino,15244,5,2552,116
Riachão,11374,1,2171,81
Riachinho,17036,2,1344,34
Santa Eugênia,49365,10,2587,123
Santa Inês,39486,3,2878,73
Santa Rita,57962,1,511,73
Corumba,47511,3,696,33
São Bento,13434,1,1086,124
Santo Antônio,51924,6,1246,106
Santo Elias,25373,9,1595,34
Carmari,27478,8,1283,100
Tingui,7714,1,2625,67
Tingui Mirim,30145,4,1400,47
Tinguá,4094,9,669,30
Três Bocas,17177,6,2843,63
Vila de Cava,16413,8,2598,142
Vila da Sapê,18944,1,2744,77
Vila São João,55706,10,2097,58
Vila Tinguá,44928,1,2072,138
Vila União,54232,3,1697,103
Zumbi,55952,1,1681,146
Bairro da Luz,23823,10,1114,35
Comendador Soares,23431,9,2840,36
Morro do Barão,6584,6,2502,137
Morro do Castro,4549,4,2196,137
Morro do Escorrega,32627,2,1852,54
Morro do Fogueteiro,36205,9,1571,58
Morro do São João,53683,1,2222,107
Bairro 1,38477,6,2411,71
Bairro 2,12575,10,2113,127
Bairro 3,10681,9,2400,138
Bairro 4,18895,6,2241,113
Bairro 5,58657,1,2922,72
Bairro 6,42716,4,1684,115
Bairro 7,45725,9,2650,69
Bairro 8,7621,1,1751,113
Bairro 9,41531,7,2666,24
Bairro 10,9900,6,1643,130
Bairro 11,34570,3,2281,93
Bairro 12,14663,4,554,71
Bairro 13,16899,6,2685,121
Bairro 14,8871,6,1118,136
Bairro 15,6764,2,1243,108
Bairro 16,25342,7,2543,28
Bairro 17,56070,4,980,84
Bairro 18,14108,1,2477,97
Bairro 19,19254,9,1703,72
Bairro 20,21729,2,2482,66
Bairro 21,27284,10,1888,44
Bairro 22,58413,2,1671,92
Bairro 23,36695,6,1715,97
Bairro 24,30109,1,2436,26
Bairro 25,59306,7,2294,33
Bairro 26,7174,4,1041,137
Bairro 27,55719,9,1628,121
Bairro 28,33785,5,957,60
Bairro 29,31930,1,2023,63
Bairro 30,30379,6,2601,92
Bairro 31,17527,7,2784,107
Bairro 32,25028,8,2384,77
Bairro 33,29896,1,2572,29
